Gene names,PROT_Log2FC,PROT_pValue,GENE_Log2FC,GENE_pValue,Group,Protein IDs
ESYT2,0.7884226598200408,8.24497791809881e-05,-0.377744130550765,0.005191015271988971,everithing else,A0FGR8
MED19,0.5658467519172494,0.000143399570147343,-0.0396277937316407,0.8224873549151629,everithing else,A0JLT2
ARHGAP10,-0.12974836042405713,0.6871294786397288,-0.276479125175219,0.0830849873403129,everithing else,A1A4S6
ILVBL,-0.055584022471128196,0.7856411920676889,-0.13887550591872,0.04399288593113599,everithing else,A1L0T0
SH3PXD2B,-0.5690715951387584,0.00027604516225310477,0.7647379949898521,0.0006900964111281049,everithing else,A1X283
CNOT1,-0.9826346491709838,0.00010818903843984158,0.257499637197969,0.149376854153354,everithing else,A5YKK6
ZNF316,-0.013392636735264798,0.8834750485313425,0.10235296227318101,0.724841049287813,everithing else,A6NFI3
SMCHD1,0.20135945881920048,0.016924427892060646,-0.140435172935177,0.41631943419589706,everithing else,A6NHR9
POM121C,0.5774796911784821,5.92458213417422e-07,0.147371071963396,0.0995976423757239,everithing else,A8CG34;A6NF01;Q6PJE2
GPR89B,-0.33675752603315035,0.07249308673523744,0.102945354442644,0.202164382501585,everithing else,P0CG08;B7ZAQ6
NACA,-0.5982107476177679,0.010799624488361281,-0.0374714680423162,0.756348720442045,everithing else,Q13765;E9PAV3;Q9BZK3
C11orf98,1.1866291893971666,4.312807928460645e-09,,,everithing else,E9PRG8
AGPS,-0.2191237939520261,0.0401199191546484,0.911298687340543,7.422080785627979e-19,everithing else,O00116
KIF2A,-1.052390628236595,4.025930421828895e-08,-0.122418138636277,0.293650573763958,everithing else,O00139;Q8N4N8
DDX39A,0.7064636768254757,3.2466881201619436e-05,-0.695640882535497,3.59891925069929e-18,everithing else,O00148
MYO1C,-1.1255072448899412,3.0279089041150546e-09,-0.388734613669511,0.00504071444218524,everithing else,O00159
SMAP,0.008592035508750137,0.9412147588671329,,,everithing else,O00193
NDUFS8,-0.06022572002405072,0.6109844407513074,-0.152257178266791,0.30124306647389004,everithing else,O00217
PSMD11,0.0704623687056583,0.3087220024003246,0.0807331140204273,0.13180876067093303,everithing else,O00231
PSMD12,0.0338496062865437,0.7085718928132492,0.324974940811831,2.4778112728576197e-09,everithing else,O00232
MEN1,-0.43308204572604,0.0001786858468591459,0.152628768834921,0.134489620938143,everithing else,O00255
CBX4,0.07919462401684949,0.44236679334457774,0.332052902383374,0.000263606180965758,everithing else,O00257
PGRMC1,-0.19900252124157772,0.18293245146661596,-0.168744122987087,0.0446490115167826,everithing else,O00264
SUPT5H,-0.030997958888715826,0.6967688187350025,0.531255115102336,2.0429121837424397e-07,everithing else,O00267
TAF4,0.24485739976144194,0.008009606363948343,-0.273386145594892,0.0010992630363719999,everithing else,O00268;Q92750
RFXAP,0.008074111465744,0.9294545855013681,-0.330095689147799,0.00807920255701951,everithing else,O00287
HIP1,-0.47269053254013155,0.06833680623002504,0.0415422063421091,0.7863665184412021,everithing else,O00291
EIF3F,-0.587056507037098,0.005248774009362259,-0.5953000479327479,4.7917528389825e-05,everithing else,O00303
ARNTL,0.881048597912853,5.617795986652831e-05,0.7139561204724321,1.6226604294558e-23,everithing else,O00327
QSOX1,-0.48174765380709106,0.0009894496934858942,0.686720792956554,8.972696038104579e-47,everithing else,O00391
WASL,-0.2318231503235392,0.02473754123537638,0.507482523165181,1.33557464654894e-10,everithing else,O00401
IPO5,-0.49912570837152437,0.00307076378381448,-0.256579579531438,0.0292947553945416,everithing else,O00410
IGF2BP3,-0.8544168497866357,5.081042051613807e-05,0.113228915816379,0.290357897824353,everithing else,O00425
RTCA,0.991527642328158,8.555944755052846e-05,0.47961887116334995,5.202102752927629e-09,everithing else,O00442
PIK3C2A,0.10789839125857273,0.3569894489687837,0.46956182444505895,0.00700364072786138,everithing else,O00443
GOLIM4,-0.8072048117437863,0.0024044475120842744,0.760320858772341,1.15116469001454e-10,everithing else,O00461
MEIS1,-1.6011429270807598,2.852280530702272e-08,-0.19060170750122898,0.000186384319484668,everithing else,O00470;Q99687;A8K0S8
EXOC5,0.42229974755005223,0.0010977026719016872,0.29303589070133196,0.019124541257268,everithing else,O00471
PSMD14,-0.016825981960375717,0.7915923191759882,0.255747977033363,7.580157313517241e-07,everithing else,O00487
BIN1,-0.7087886091368418,0.001839843716592786,-0.242970624125793,0.0006000991932499741,everithing else,O00499
KPNA3,0.42246476498210705,0.0005841901804366158,-0.140077570560194,0.0433866352152188,everithing else,O00505
PES1,1.0255831341795545,2.6734764631591906e-09,-0.0426646091083085,0.560936221873001,everithing else,O00541
SDCBP,-1.0184989625282872,0.003061225793151477,-0.10460956007893801,0.43583502918610206,everithing else,O00560
MPHOSPH10,0.9711499841241754,7.394908838877582e-09,0.33591053034132107,0.004892276604852121,everithing else,O00566
NOP56,0.6595723052398211,1.0017087369299176e-05,-0.21201820983229297,1.8037888035408e-05,everithing else,O00567
KPNA4,1.1210517183501847,5.996952418732341e-08,0.302343473458765,1.16306754472805e-07,everithing else,O00629
NME4,-0.8828275508355309,3.4292210245948374e-05,-0.0678727811905714,0.36671152318069605,everithing else,O00746
ARID1A,0.13981049176024543,0.029698031032414928,-0.305736586512943,0.0036550748688859297,everithing else,O14497
BHLHE40,3.534066134496513,7.496698204250862e-10,1.54411831409744,1.8034489906535994e-94,everithing else,O14503;Q9C0J9
CDK2AP1,0.35591754872473713,0.013799144966318068,-0.0450740826616137,0.6715915865784841,everithing else,O14519;O75956
UBFD1,0.37898529735806014,0.00783584983510211,0.33359720231672396,1.54892856789779e-05,everithing else,O14562
RFXANK,0.14436872083486355,0.28919907577705073,0.0829047713483329,0.457615692410411,everithing else,O14593
CDC42EP2,-0.9056550700449358,0.2523776663709354,-0.23529833761425897,0.0007636934503938731,everithing else,O14613
CHD2,-0.18576592141742523,0.14442770788003198,0.00995398587425338,0.8811332149258879,everithing else,O14647
GOSR2,-0.08873090673124057,0.5596216814581488,0.41030362842964796,0.000156127477962483,everithing else,O14653
ADAM10,-1.7380117634922374,5.505906227051422e-10,0.0450302985432286,0.62849180981952,everithing else,O14672
KMT2D,0.6150185854122723,4.972028382537263e-06,,,everithing else,O14686
ACOT8,0.8023657127148973,4.6815927705040295e-05,0.310681416394208,0.0726490283107512,everithing else,O14734
TPP1,-0.2824950672441206,0.13670273172205638,-0.0401572373081035,0.676375366294067,everithing else,O14773
TNPO2,-0.7327420164596632,0.012342247588159707,0.0140692678133501,0.919431257659567,everithing else,O14787
POLR3A,0.014993547644573285,0.9159286904435937,0.654700329412046,3.70977833694624e-07,everithing else,O14802
PSMA7,-0.07394267571765355,0.2960916987017399,0.0116103461242433,0.943826796510178,everithing else,O14818;Q8TAA3
MGST3,-1.386913004626384,2.654308730408555e-06,-0.721032357751625,0.00169085138234608,everithing else,O14880
GIPC1,-0.02758198327300877,0.9181023794294474,-0.152325228315199,0.0520188814556669,everithing else,O14908;Q8TF64
CASK,-1.0754863803246681,0.0033978790633072808,0.509300489721771,6.10649177628255e-08,everithing else,O14936
MYL12A,-0.541587436691211,0.026707321532104714,0.324389417396716,0.0269500687872537,everithing else,P19105;O14950
PPP1R12A,-0.42734678932837583,0.0031119159958998056,-0.0912281778959065,0.34046739165876,everithing else,O14974
HNRNPDL,-0.3775612775884538,0.019784262038482055,,,everithing else,O14979
XPO1,0.3117897977216954,0.0034940346336404084,-0.35490456854664504,0.000247164129064523,everithing else,O14980
BTAF1,0.06473360304967093,0.5559582524722306,0.691411719073305,0.0106141746309595,everithing else,O14981
ZNF609,1.1099544751499537,1.619512682598542e-08,0.7227632234511271,1.9454344027983998e-05,everithing else,O15014
SETD1A,0.10823317307076263,0.15924550766839035,-0.137007931644641,0.3878700605116071,everithing else,O15047
SYNJ2,-1.4203549257625625,0.0009649936788713291,-0.343971955383906,0.0184775895406851,everithing else,O15056
KIAA0391,-0.08515402839343889,0.6750065096114513,-0.0991199063029563,0.777646514328098,everithing else,O15091
TBX3,0.5199939379275006,0.00023852968273304175,0.4198806204457539,4.33836328796657e-14,everithing else,O15119
ARPC1B,0.2459400599069223,0.006161269535640161,0.0825407655079,0.34350305330035097,everithing else,O15143
ARPC2,0.30815521384500405,0.002402175157252517,0.221811411269213,0.0373618727529724,everithing else,O15144
ARPC3,0.3269065691821393,0.002268448581254633,0.128846246346507,0.360332326677834,everithing else,O15145
ZBTB7B,1.0648461496055206,8.097620511369731e-05,0.483471328901024,3.1690803287850103e-06,everithing else,O15156
POLR1C,0.956275685540679,1.6338036780555004e-08,0.217792973708783,0.0125315370507959,everithing else,O15160
TRIM24,-0.5114968263829464,0.0001763994048564482,0.0239571540151728,0.7728372436365971,everithing else,O15164
WDR46,0.7742935198765939,4.150492488621456e-06,0.13393178680192697,0.18804752724661603,everithing else,O15213
NKRF,1.364223482158547,1.0931571918237728e-10,0.5703861638142789,3.13072400916426e-14,everithing else,O15226
SURF4,-0.07503611169648845,0.5875434635075512,0.361692155950481,1.91102924593273e-09,everithing else,O15260
MAPK13,2.127959044668816,1.574209738866005e-08,1.29974250524063,2.1220464657887898e-47,everithing else,O15264
OGT,0.16310062187396498,0.06721021482408542,0.452901307600529,0.000727452194169026,everithing else,O15294
MID1,-0.7426137840467991,0.00021378038082238982,-0.491659560976574,2.8073358990309996e-07,everithing else,O15344
HMGB3,-1.2522832149663279,9.598251006375504e-07,-1.32822754837685,8.532017341760652e-48,everithing else,O15347
EIF3D,-0.5100467650014519,0.0028368068831603564,-0.11436670325930198,0.14247118424026,everithing else,O15371
EIF3H,-0.5497411164824221,0.009788566585834272,0.13212498724395402,0.00411956544624444,everithing else,O15372
HDAC3,-0.6748100155577096,5.053735521256319e-06,-0.0639033556706269,0.260988455174638,everithing else,O15379
NVL,0.952824129666386,9.329735812173222e-09,-0.0845959298000379,0.157251311193035,everithing else,O15381
ABCC4,-0.7158991650740562,0.001445801479914864,0.7480301016985509,1.69982200239151e-06,everithing else,O15439
CD3EAP,0.9079222097850057,1.7472704092516288e-07,-0.7252563382841339,5.115830726111529e-07,everithing else,O15446
P4HA2,-0.8000520901758164,3.8682076662357635e-05,0.834546371399035,2.73414339537599e-49,everithing else,O15460
NUPL2,0.5929669620949731,1.812209517143176e-05,0.17957493123182897,0.00141962457377488,everithing else,O15504
ARPC5,0.06328541624098251,0.4208583163869273,-0.0668521845918156,0.438683548724491,everithing else,O15511
POLR2D,-0.4052606737318502,0.0007074099530641644,0.0975812299605294,0.470712793417168,everithing else,O15514
CLOCK,0.5921352534900326,0.0018932312721213393,0.10025788449102802,0.43059223133466495,everithing else,O15516
KDM6A,0.6189038851786947,2.081301438429177e-06,0.25478622295798997,0.025166680021612,everithing else,O15550;O14607
